context,question,choices,answer
"Luật Đất đai: Việc tách nội dung bồi thường, hỗ trợ, tái định cư thành dự án độc lập và việc thu hồi đất, bồi thường, hỗ trợ, tái định cư đối với dự án đầu tư. Trường hợp dự án bồi thường, hỗ trợ, tái định cư được tách ra thành dự án độc lập theo quy định của pháp luật về đầu tư công thì việc thu hồi đất, bồi thường, hỗ trợ, tái định cư được thực hiện theo quy định của Luật này.","Nếu một dự án đầu tư có thể tách thành dự án bồi thường, hỗ trợ, tái định cư độc lập, thì quy định nào sẽ điều chỉnh toàn bộ quy trình?","{'A': 'Quy định của Luật Đầu tư và Luật Đất đai', 'B': 'Quy định của Luật Đất đai và Luật Xây dựng', 'C': 'Quy định riêng của dự án được phê duyệt', 'D': 'Quy định của Luật Đất đai và pháp luật đầu tư công'}",D
"Luật Hôn nhân và gia đình - Thẩm quyền giải quyết việc xác định cha, mẹ, con","Trường hợp nào sau đây thuộc thẩm quyền của cơ quan đăng ký hộ tịch trong việc xác định cha, mẹ, con?","{'A': 'Trường hợp có tranh chấp giữa các bên', 'B': 'Trường hợp không có tranh chấp', 'C': 'Trường hợp người được yêu cầu xác định đã chết', 'D': 'Trường hợp yêu cầu xác định theo Điều 92 Luật này'}",B
"Luật Hôn nhân và gia đình - Thẩm quyền giải quyết việc xác định cha, mẹ, con","Tòa án có thẩm quyền giải quyết việc xác định cha, mẹ, con trong trường hợp nào sau đây?","{'A': 'Không có tranh chấp', 'B': 'Có tranh chấp hoặc người được yêu cầu xác định đã chết', 'C': 'Chỉ khi có tranh chấp', 'D': 'Chỉ khi người được yêu cầu xác định đã chết'}",B
"Luật Hôn nhân và gia đình - Thẩm quyền giải quyết việc xác định cha, mẹ, con","Quyết định của tòa án về xác định cha, mẹ, con phải được gửi đến cơ quan nào sau đây?","{'A': 'Cơ quan đăng ký hộ tịch', 'B': 'Cơ quan điều tra', 'C': 'Cơ quan quản lý giáo dục', 'D': 'Cơ quan thuế'}",A
"Luật Hôn nhân và gia đình - Thẩm quyền giải quyết việc xác định cha, mẹ, con","Trong trường hợp nào sau đây, tòa án không có thẩm quyền giải quyết việc xác định cha, mẹ, con?","{'A': 'Khi có tranh chấp về quyền nuôi con', 'B': 'Khi người được yêu cầu xác định là cha, mẹ, con đã chết', 'C': 'Khi không có tranh chấp và không có người chết', 'D': 'Khi yêu cầu xác định theo Điều 92 Luật này'}",C
"Luật Hôn nhân và gia đình - Thẩm quyền giải quyết việc xác định cha, mẹ, con","Phát biểu nào sau đây là đúng theo quy định về xác định cha, mẹ, con trong Luật Hôn nhân và gia đình?","{'A': 'Cơ quan đăng ký hộ tịch có thẩm quyền trong mọi trường hợp', 'B': 'Tòa án phải gửi quyết định xác định cha, mẹ, con cho cơ quan đăng ký hộ tịch và các bên liên quan', 'C': 'Tòa án không cần gửi quyết định cho các bên liên quan', 'D': 'Cơ quan đăng ký hộ tịch không cần ghi chú quyết định của tòa án'}",B
"Luật Nhà ở: Chỗ để xe của nhà chung cư
1. Chỗ để xe phục vụ cho các chủ sở hữu, người sử dụng nhà chung cư bao gồm xe ô tô, xe động cơ hai bánh, xe động cơ ba bánh, xe đạp và xe cho người khuyết tật thì chủ đầu tư dự án đầu tư xây dựng nhà ở phải xây dựng tối thiểu theo quy chuẩn xây dựng, thiết kế được phê duyệt và phải được sử dụng đúng mục đích... 2. Việc xác định quyền sở hữu, quyền sử dụng đối với chỗ để xe được quy định như sau... 3. Giá dịch vụ trông giữ xe được thực hiện theo quy định của pháp luật về giá... 4. Việc quản lý vận hành chỗ để xe được thực hiện theo Quy chế quản lý, sử dụng nhà chung cư.","Theo quy định của Luật Nhà ở, chủ đầu tư dự án nhà chung cư phải thực hiện nghĩa vụ nào sau đây đối với chỗ để xe?","{'A': 'Không được xây dựng chỗ để xe cho xe đạp', 'B': 'Xây dựng chỗ để xe theo quy chuẩn và thiết kế được phê duyệt', 'C': 'Bố trí chỗ để xe chỉ ở tầng hầm', 'D': 'Không cần công khai chi phí xây dựng chỗ để xe'}",B
"Luật Nhà ở: Chỗ để xe của nhà chung cư
1. Chỗ để xe phục vụ cho các chủ sở hữu, người sử dụng nhà chung cư bao gồm xe ô tô, xe động cơ hai bánh, xe động cơ ba bánh, xe đạp và xe cho người khuyết tật thì chủ đầu tư dự án đầu tư xây dựng nhà ở phải xây dựng tối thiểu theo quy chuẩn xây dựng, thiết kế được phê duyệt và phải được sử dụng đúng mục đích... 2. Việc xác định quyền sở hữu, quyền sử dụng đối với chỗ để xe được quy định như sau... 3. Giá dịch vụ trông giữ xe được thực hiện theo quy định của pháp luật về giá... 4. Việc quản lý vận hành chỗ để xe được thực hiện theo Quy chế quản lý, sử dụng nhà chung cư.","Quyền sở hữu và sử dụng đối với chỗ để xe đạp, xe động cơ hai bánh thuộc về:","{'A': 'Quyền sở hữu riêng của từng chủ sở hữu', 'B': 'Quyền sử dụng riêng của từng chủ sở hữu', 'C': 'Quyền sở hữu chung và quyền sử dụng chung của các chủ sở hữu', 'D': 'Quyền sở hữu của chủ đầu tư'}",C
"Luật Nhà ở: Chỗ để xe của nhà chung cư
1. Chỗ để xe phục vụ cho các chủ sở hữu, người sử dụng nhà chung cư bao gồm xe ô tô, xe động cơ hai bánh, xe động cơ ba bánh, xe đạp và xe cho người khuyết tật thì chủ đầu tư dự án đầu tư xây dựng nhà ở phải xây dựng tối thiểu theo quy chuẩn xây dựng, thiết kế được phê duyệt và phải được sử dụng đúng mục đích... 2. Việc xác định quyền sở hữu, quyền sử dụng đối với chỗ để xe được quy định như sau... 3. Giá dịch vụ trông giữ xe được thực hiện theo quy định của pháp luật về giá... 4. Việc quản lý vận hành chỗ để xe được thực hiện theo Quy chế quản lý, sử dụng nhà chung cư.","Trường hợp chủ sở hữu không mua hoặc thuê chỗ để xe ô tô, quyền quản lý thuộc về:","{'A': 'Chủ sở hữu nhà chung cư', 'B': 'Người mua căn hộ', 'C': 'Chủ đầu tư dự án', 'D': 'Cơ quan quản lý Nhà nước'}",C
"Luật Nhà ở: Chỗ để xe của nhà chung cư
1. Chỗ để xe phục vụ cho các chủ sở hữu, người sử dụng nhà chung cư bao gồm xe ô tô, xe động cơ hai bánh, xe động cơ ba bánh, xe đạp và xe cho người khuyết tật thì chủ đầu tư dự án đầu tư xây dựng nhà ở phải xây dựng tối thiểu theo quy chuẩn xây dựng, thiết kế được phê duyệt và phải được sử dụng đúng mục đích... 2. Việc xác định quyền sở hữu, quyền sử dụng đối với chỗ để xe được quy định như sau... 3. Giá dịch vụ trông giữ xe được thực hiện theo quy định của pháp luật về giá... 4. Việc quản lý vận hành chỗ để xe được thực hiện theo Quy chế quản lý, sử dụng nhà chung cư.",Nguyên tắc ưu tiên trong việc bố trí chỗ để xe ô tô cho nhà chung cư là:,"{'A': 'Ưu tiên cho xe công cộng trước', 'B': 'Ưu tiên cho người khuyết tật trước', 'C': 'Ưu tiên cho chủ sở hữu nhà chung cư trước', 'D': 'Ưu tiên cho người thuê căn hộ trước'}",C
"Luật Nhà ở: Chỗ để xe của nhà chung cư
1. Chỗ để xe phục vụ cho các chủ sở hữu, người sử dụng nhà chung cư bao gồm xe ô tô, xe động cơ hai bánh, xe động cơ ba bánh, xe đạp và xe cho người khuyết tật thì chủ đầu tư dự án đầu tư xây dựng nhà ở phải xây dựng tối thiểu theo quy chuẩn xây dựng, thiết kế được phê duyệt và phải được sử dụng đúng mục đích... 2. Việc xác định quyền sở hữu, quyền sử dụng đối với chỗ để xe được quy định như sau... 3. Giá dịch vụ trông giữ xe được thực hiện theo quy định của pháp luật về giá... 4. Việc quản lý vận hành chỗ để xe được thực hiện theo Quy chế quản lý, sử dụng nhà chung cư.",Chủ đầu tư dự án phải bàn giao cho chủ sở hữu nhà chung cư tài liệu nào để quản lý chỗ để xe?,"{'A': 'Bản vẽ mặt bằng khu vực để xe theo hồ sơ dự án', 'B': 'Giấy chứng nhận quyền sử dụng đất', 'C': 'Hợp đồng mua bán căn hộ', 'D': 'Biên bản nghiệm thu công trình'}",A
"Luật Chăn nuôi quy định chuyển tiếp về hiệu lực của giấy tờ, thời hạn hoạt động và điều kiện chăn nuôi cho các cơ sở xây dựng trước ngày luật có hiệu lực.","Theo quy định chuyển tiếp của Luật Chăn nuôi, giấy phép, giấy chứng nhận, giấy xác nhận, chứng chỉ trong chăn nuôi đã được cấp trước ngày Luật có hiệu lực thi hành được xử lý như thế nào?","{'A': 'Tiếp tục sử dụng đến hết thời hạn', 'B': 'Bị hủy bỏ ngay lập tức', 'C': 'Phải đổi mới trong vòng 01 năm', 'D': 'Được cấp lại miễn phí'}",A
"Luật Chăn nuôi quy định chuyển tiếp về hiệu lực của giấy tờ, thời hạn hoạt động và điều kiện chăn nuôi cho các cơ sở xây dựng trước ngày luật có hiệu lực.",Cơ sở chăn nuôi xây dựng trước ngày Luật Chăn nuôi có hiệu lực thi hành thuộc khu vực quy định tại khoản 1 Điều 12 thì phải thực hiện nghĩa vụ gì?,"{'A': 'Phải đầu tư thêm 5 năm', 'B': 'Phải ngừng hoạt động hoặc di dời trong 5 năm', 'C': 'Phải nộp phạt 50% giá trị tài sản', 'D': 'Phải chuyển đổi ngành nghề'}",B
"Luật Chăn nuôi quy định chuyển tiếp về hiệu lực của giấy tờ, thời hạn hoạt động và điều kiện chăn nuôi cho các cơ sở xây dựng trước ngày luật có hiệu lực.",Cơ sở chăn nuôi nào phải hoàn thiện điều kiện chăn nuôi trong 05 năm kể từ ngày Luật Chăn nuôi có hiệu lực?,"{'A': 'Cơ sở chăn nuôi xây dựng trước ngày Luật có hiệu lực nhưng không thuộc khu vực quy định tại khoản 1 Điều 12', 'B': 'Cơ sở chăn nuôi xây dựng sau ngày Luật có hiệu lực', 'C': 'Cơ sở chăn nuôi xây dựng trước ngày Luật có hiệu lực nhưng không đáp ứng điều kiện chăn nuôi', 'D': 'Cơ sở chăn nuôi được cấp giấy phép sau ngày Luật có hiệu lực'}",C
"Luật Chăn nuôi quy định chuyển tiếp về hiệu lực của giấy tờ, thời hạn hoạt động và điều kiện chăn nuôi cho các cơ sở xây dựng trước ngày luật có hiệu lực.",Thời hạn để cơ sở chăn nuôi thực hiện nghĩa vụ ngừng hoạt động hoặc hoàn thiện điều kiện chăn nuôi theo quy định chuyển tiếp là bao lâu?,"{'A': '03 năm', 'B': '02 năm', 'C': '04 năm', 'D': '05 năm'}",D
"Luật Chăn nuôi quy định chuyển tiếp về hiệu lực của giấy tờ, thời hạn hoạt động và điều kiện chăn nuôi cho các cơ sở xây dựng trước ngày luật có hiệu lực.","Nếu một cơ sở chăn nuôi được xây dựng trước ngày Luật Chăn nuôi có hiệu lực nhưng nằm ở khu vực không thuộc quy định tại khoản 1 Điều 12, thì cơ sở này phải thực hiện nghĩa vụ gì?","{'A': 'Không cần thực hiện nghĩa vụ nào', 'B': 'Phải ngừng hoạt động trong 05 năm', 'C': 'Phải di dời đến khu vực quy định', 'D': 'Phải hoàn thiện điều kiện chăn nuôi'}",A
"Luật Nhà ở: Ưu đãi chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp và doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã thuê nhà lưu trú công nhân trong khu công nghiệp cho công nhân của mình thuê lại
1. Chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp được ưu đãi theo quy định tại các điểm a, b, đ, g và h khoản 2 Điều 85 của Luật này và các ưu đãi sau đây:
... (tiếp theo như văn bản gốc)","Theo Luật Nhà ở, đối tượng nào được hưởng ưu đãi trong việc đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp?","{'A': 'Doanh nghiệp sản xuất trong khu công nghiệp', 'B': 'Chủ đầu tư dự án xây dựng nhà lưu trú công nhân', 'C': 'Người lao động trong khu công nghiệp', 'D': 'Cơ quan quản lý nhà nước'}",B
"Luật Nhà ở: Ưu đãi chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp và doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã thuê nhà lưu trú công nhân trong khu công nghiệp cho công nhân của mình thuê lại
1. Chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp được ưu đãi theo quy định tại các điểm a, b, đ, g và h khoản 2 Điều 85 của Luật này và các ưu đãi sau đây:
... (tiếp theo như văn bản gốc)",Chi phí đầu tư hạ tầng kỹ thuật nhà lưu trú công nhân trong khu công nghiệp được tính vào:,"{'A': 'Chi phí đầu tư hạ tầng khu công nghiệp', 'B': 'Chi phí đầu tư xây dựng nhà ở thương mại', 'C': 'Chi phí quản lý doanh nghiệp', 'D': 'Chi phí đầu tư hạ tầng xã hội'}",A
"Luật Nhà ở: Ưu đãi chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp và doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã thuê nhà lưu trú công nhân trong khu công nghiệp cho công nhân của mình thuê lại
1. Chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp được ưu đãi theo quy định tại các điểm a, b, đ, g và h khoản 2 Điều 85 của Luật này và các ưu đãi sau đây:
... (tiếp theo như văn bản gốc)",Chi phí đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp được áp dụng như thế nào khi xác định thu nhập chịu thuế?,"{'A': 'Không được trừ khi tính thuế thu nhập doanh nghiệp', 'B': 'Được trừ theo quy định của pháp luật về thuế thu nhập doanh nghiệp', 'C': 'Được trừ theo tỷ lệ 50% giá trị chi phí', 'D': 'Được trừ theo quy định của pháp luật về thuế giá trị gia tăng'}",B
"Luật Nhà ở: Ưu đãi chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp và doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã thuê nhà lưu trú công nhân trong khu công nghiệp cho công nhân của mình thuê lại
1. Chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp được ưu đãi theo quy định tại các điểm a, b, đ, g và h khoản 2 Điều 85 của Luật này và các ưu đãi sau đây:
... (tiếp theo như văn bản gốc)","Trường hợp doanh nghiệp thuê nhà lưu trú công nhân để cho công nhân thuê lại, chi phí thuê được tính như thế nào?","{'A': 'Không được tính vào chi phí sản xuất kinh doanh', 'B': 'Tính là chi phí hợp lý trong giá thành sản xuất', 'C': 'Tính là chi phí đầu tư cố định', 'D': 'Tính là chi phí tài chính'}",B
"Luật Nhà ở: Ưu đãi chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp và doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã thuê nhà lưu trú công nhân trong khu công nghiệp cho công nhân của mình thuê lại
1. Chủ đầu tư dự án đầu tư xây dựng nhà lưu trú công nhân trong khu công nghiệp được ưu đãi theo quy định tại các điểm a, b, đ, g và h khoản 2 Điều 85 của Luật này và các ưu đãi sau đây:
... (tiếp theo như văn bản gốc)","Theo quy định, ưu đãi nào sau đây không áp dụng cho chủ đầu tư nhà lưu trú công nhân trong khu công nghiệp?","{'A': 'Ưu đãi về thuế thu nhập doanh nghiệp', 'B': 'Ưu đãi về chi phí đầu tư hạ tầng kỹ thuật', 'C': 'Ưu đãi về chi phí thuê nhà lưu trú công nhân', 'D': 'Ưu đãi về chi phí quản lý doanh nghiệp'}",D
"Luật Phòng, chống ma túy: Lập danh sách người sử dụng trái phép chất ma túy
1. Công an cấp xã giúp Ủy ban nhân dân cùng cấp lập danh sách người sử dụng trái phép chất ma túy cư trú tại địa phương.
2. Khi người sử dụng trái phép chất ma túy thay đổi nơi cư trú thì công an cấp xã nơi chuyển đi có trách nhiệm thông báo cho công an cấp xã nơi chuyển đến trong thời hạn 05 ngày làm việc kể từ ngày người đó chuyển khỏi địa phương để đưa vào danh sách và tiếp tục quản lý.
3. Công an cấp xã giúp Ủy ban nhân dân cùng cấp đưa ra khỏi danh sách người sử dụng trái phép chất ma túy trong các trường hợp sau đây:
a) Người sử dụng trái phép chất ma túy không có hành vi sử dụng trái phép chất ma túy trong thời gian quản lý quy định tại khoản 2 Điều 23 của Luật này;
b) Người sử dụng trái phép chất ma túy thuộc trường hợp dừng quản lý quy định tại khoản 5 Điều 23 của Luật này;
c) Người sử dụng trái phép chất ma túy chuyển đến cư trú ở địa phương khác.","Theo quy định, cơ quan nào có trách nhiệm lập danh sách người sử dụng trái phép chất ma túy tại địa phương?","{'A': 'Ủy ban nhân dân cấp xã', 'B': 'Công an cấp xã', 'C': 'Phòng Công an huyện', 'D': 'Cục An ninh mạng'}",B
"Luật Phòng, chống ma túy: Lập danh sách người sử dụng trái phép chất ma túy
1. Công an cấp xã giúp Ủy ban nhân dân cùng cấp lập danh sách người sử dụng trái phép chất ma túy cư trú tại địa phương.
2. Khi người sử dụng trái phép chất ma túy thay đổi nơi cư trú thì công an cấp xã nơi chuyển đi có trách nhiệm thông báo cho công an cấp xã nơi chuyển đến trong thời hạn 05 ngày làm việc kể từ ngày người đó chuyển khỏi địa phương để đưa vào danh sách và tiếp tục quản lý.
3. Công an cấp xã giúp Ủy ban nhân dân cùng cấp đưa ra khỏi danh sách người sử dụng trái phép chất ma túy trong các trường hợp sau đây:
a) Người sử dụng trái phép chất ma túy không có hành vi sử dụng trái phép chất ma túy trong thời gian quản lý quy định tại khoản 2 Điều 23 của Luật này;
b) Người sử dụng trái phép chất ma túy thuộc trường hợp dừng quản lý quy định tại khoản 5 Điều 23 của Luật này;
c) Người sử dụng trái phép chất ma túy chuyển đến cư trú ở địa phương khác.","Khi người sử dụng trái phép chất ma túy chuyển địa phương, công an cấp xã nơi chuyển đi phải thông báo cho nơi chuyển đến trong bao nhiêu ngày làm việc?","{'A': '03 ngày làm việc', 'B': '05 ngày làm việc', 'C': '10 ngày làm việc', 'D': '15 ngày làm việc'}",B
