context,question,answer
"Luật Giáo dục: Yêu cầu về nội dung, phương pháp giáo dục phổ thông","Nội dung giáo dục phổ thông phải bảo đảm tính phổ thông, cơ bản, toàn diện, hướng nghiệp và có hệ thống đúng hay sai?",Đúng
"Bộ luật dân sự
Lãi suất
1. Lãi suất vay do các bên thỏa thuận.
Trường hợp các bên có thỏa thuận về lãi suất thì lãi suất theo thỏa thuận không được vượt quá 20%/năm của khoản tiền vay, trừ trường hợp luật khác có liên quan quy định khác. Căn cứ tình hình thực tế và theo đề xuất của Chính phủ, Ủy ban thường vụ Quốc hội quyết định điều chỉnh mức lãi suất nói trên và báo cáo Quốc hội tại kỳ họp gần nhất.
Trường hợp lãi suất theo thỏa thuận vượt quá lãi suất giới hạn được quy định tại khoản này thì mức lãi suất vượt quá không có hiệu lực.
2. Trường hợp các bên có thoả thuận về việc trả lãi, nhưng không xác định rõ lãi suất và có tranh chấp về lãi suất thì lãi suất được xác định bằng 50% mức lãi suất giới hạn quy định tại khoản 1 Điều này tại thời điểm trả nợ.","Lãi suất theo thỏa thuận giữa các bên không được vượt quá 20%/năm đối với khoản tiền vay, trừ trường hợp luật khác có liên quan quy định khác. đúng hay sai?",Đúng
"Bộ luật dân sự, Điều kiện thực hiện quyền định đoạt: Việc định đoạt tài sản phải do người có năng lực hành vi dân sự thực hiện không trái quy định của pháp luật. Trường hợp pháp luật có quy định trình tự, thủ tục định đoạt tài sản thì phải tuân theo trình tự, thủ tục đó.",Người không có năng lực hành vi dân sự có thể thực hiện định đoạt tài sản nếu không trái pháp luật. đúng hay sai?,Sai
"Luật Hôn nhân và gia đình quy định quyền, nghĩa vụ của cha nuôi, mẹ nuôi, con nuôi; trường hợp chấm dứt nuôi con nuôi; khôi phục quyền nghĩa vụ giữa cha đẻ, mẹ đẻ và con đẻ.","Nếu cha đẻ, mẹ đẻ không còn hoặc không có đủ điều kiện nuôi con, Tòa án sẽ chỉ định người giám hộ cho con theo quy định của Luật Hôn nhân và gia đình. đúng hay sai?",Sai
"Luật Khám bệnh, chữa bệnh
Các trường hợp thử nghiệm lâm sàng trong khám bệnh, chữa bệnh
1. Kỹ thuật mới, phương pháp mới trong khám bệnh, chữa bệnh.
2. Thiết bị y tế trước khi đăng ký lưu hành tại Việt Nam có mức độ rủi ro trung bình cao hoặc mức độ rủi ro cao theo quy định của Chính phủ.","Luật Khám bệnh, chữa bệnh quy định hai trường hợp thử nghiệm lâm sàng là kỹ thuật mới và thiết bị y tế có mức độ rủi ro cao. đúng hay sai?",Đúng
"Luật Đất đai, Điều 1: Đất xây dựng các công trình, khu vực có hành lang bảo vệ an toàn","Cơ quan, tổ chức trực tiếp quản lý công trình có trách nhiệm công bố công khai mốc giới hành lang bảo vệ an toàn đúng hay sai?",Đúng
"Luật Đất đai, Điều 45","Theo Điều 45 Luật Đất đai, tài sản gắn liền với đất được bán phải được đăng ký theo quy định pháp luật. đúng hay sai?",Đúng
"Luật Hôn nhân và gia đình: Chia tài sản chung của vợ chồng đưa vào kinh doanh
Vợ, chồng đang thực hiện hoạt động kinh doanh liên quan đến tài sản chung có quyền được nhận tài sản đó và phải thanh toán cho bên kia phần giá trị tài sản mà họ được hưởng, trừ trường hợp pháp luật về kinh doanh có quy định khác.","Vợ, chồng thực hiện hoạt động kinh doanh liên quan đến tài sản chung có nghĩa vụ thanh toán cho nhau phần giá trị tài sản, bất kể pháp luật về kinh doanh có quy định khác hay không. đúng hay sai?",Sai
"Bộ luật dân sự, Quyền sở hữu đối với tài sản vay: Bên vay trở thành chủ sở hữu tài sản vay kể từ thời điểm nhận tài sản đó.",Bên vay trở thành chủ sở hữu tài sản vay ngay từ thời điểm nhận tài sản đó đúng hay sai?,Đúng
"Bộ luật dân sự, Trách nhiệm dân sự của thành viên hộ gia đình, tổ hợp tác, tổ chức khác không có tư cách pháp nhân",Nếu một thành viên hộ gia đình đóng góp 70% tài sản chung thì họ phải chịu 70% nghĩa vụ dân sự đúng hay sai?,Đúng
"Luật Thanh niên, Chính sách đối với thanh niên từ đủ 16 tuổi đến dưới 18 tuổi... (đoạn văn bản pháp luật được cung cấp)","Theo Luật Thanh niên, chính phủ có trách nhiệm trực tiếp giải quyết các vụ việc gây tổn hại đến thể chất và tinh thần của thanh niên từ đủ 16 tuổi đến dưới 18 tuổi đúng hay sai?",Sai
"Bộ luật dân sự
Sở hữu chung hợp nhất
1. Sở hữu chung hợp nhất là sở hữu chung mà trong đó, phần quyền sở hữu của mỗi chủ sở hữu chung không được xác định đối với tài sản chung.
Sở hữu chung hợp nhất bao gồm sở hữu chung hợp nhất có thể phân chia và sở hữu chung hợp nhất không phân chia.
2. Các chủ sở hữu chung hợp nhất có quyền, nghĩa vụ ngang nhau đối với tài sản thuộc sở hữu chung.",Sở hữu chung hợp nhất bao gồm cả sở hữu chung hợp nhất có thể phân chia và sở hữu chung hợp nhất không phân chia. đúng hay sai?,Đúng
Luật Tài nguyên nước - Chuyển nước lưu vực sông,"Chính phủ quy định chi tiết trình tự, thủ tục chấp thuận phương án chuyển nước, đồng thời phân cấp thẩm quyền cho Bộ Tài nguyên và Môi trường đúng hay sai?",Sai
"Luật Hôn nhân và gia đình, Quy định chi tiết và hướng dẫn thi hành... Chính phủ quy định chi tiết các điều, khoản được giao trong Luật. Tòa án nhân dân tối cao chủ trì phối hợp với Viện kiểm sát nhân dân tối cao và Bộ Tư pháp hướng dẫn thi hành các điều, khoản được giao trong Luật. Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 7 thông qua ngày 19 tháng 6 năm 2014./.","Tòa án nhân dân tối cao là cơ quan duy nhất hướng dẫn thi hành các điều, khoản được giao trong Luật Hôn nhân và gia đình đúng hay sai?",Sai
"Bộ luật dân sự, Phụ lục hợp đồng
1. Hợp đồng có thể có phụ lục kèm theo để quy định chi tiết một số điều khoản của hợp đồng. Phụ lục hợp đồng có hiệu lực như hợp đồng. Nội dung của phụ lục hợp đồng không được trái với nội dung của hợp đồng.
2. Trường hợp phụ lục hợp đồng có điều khoản trái với nội dung của điều khoản trong hợp đồng thì điều khoản này không có hiệu lực, trừ trường hợp có thỏa thuận khác. Trường hợp các bên chấp nhận phụ lục hợp đồng có điều khoản trái với điều khoản trong hợp đồng thì coi như điều khoản đó trong hợp đồng đã được sửa đổi.","Nếu phụ lục hợp đồng quy định chi tiết điều khoản về thanh toán, thì điều khoản này có thể thay thế điều khoản tương ứng trong hợp đồng chính, đúng hay sai?",Sai
Luật Đất đai: Các thủ tục hành chính về đất đai; Chính phủ quy định chi tiết Điều này.,"Các thủ tục hành chính về đất đai bao gồm thủ tục đăng ký đất đai, tài sản gắn liền với đất đúng hay sai?",Đúng
"Luật Trồng trọt, Điều 1: Bảo vệ môi trường trong canh tác","Tổ chức, cá nhân canh tác phải thông báo cho Ủy ban nhân dân cấp xã ngay lập tức khi phát hiện dấu hiệu bất thường về ô nhiễm môi trường đúng hay sai?",Sai
"Luật Phòng, chống ma túy - Trách nhiệm của gia đình người nghiện ma túy, cộng đồng",Cộng đồng nơi người nghiện ma túy cư trú có trách nhiệm phối hợp với cơ quan có thẩm quyền để lập hồ sơ áp dụng biện pháp cai nghiện ma túy bắt buộc đúng hay sai?,Sai
"Luật Phòng, chống ma túy: Quản lý người sử dụng trái phép chất ma túy là biện pháp phòng ngừa, không phải xử lý hành chính. Thời hạn quản lý là 01 năm. Trong trường hợp người sử dụng bị thi hành án phạt tù, quản lý được dừng. Chủ tịch Ủy ban nhân dân cấp xã ra quyết định quản lý khi có kết quả xét nghiệm dương tính.",Quản lý người sử dụng trái phép chất ma túy là biện pháp xử lý hành chính đúng hay sai?,Sai
"Luật Tố tụng hành chính, Bổ sung chứng cứ mới
1. Trước khi mở phiên tòa hoặc tại phiên tòa phúc thẩm, người kháng cáo, Viện kiểm sát kháng nghị, người có quyền lợi, nghĩa vụ liên quan đến kháng cáo, kháng nghị, người bảo vệ quyền và lợi ích hợp pháp của đương sự có quyền bổ sung chứng cứ mới.
2. Tòa án cấp phúc thẩm tự mình hoặc theo yêu cầu của đương sự tiến hành xác minh chứng cứ mới được bổ sung. Tòa án có thể thực hiện ủy thác xác minh chứng cứ theo quy định tại Điều 92 của Luật này.","Theo Điều 145, chỉ có người kháng cáo và Viện kiểm sát kháng nghị mới được bổ sung chứng cứ mới đúng hay sai?",Sai
"Luật Đất đai: Lựa chọn tư vấn lập quy hoạch, kế hoạch sử dụng đất
1. Việc lựa chọn tư vấn lập quy hoạch sử dụng đất quốc gia, quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh thực hiện theo quy định của pháp luật về quy hoạch.
2. Việc lựa chọn tư vấn lập kế hoạch sử dụng đất quốc gia, quy hoạch, kế hoạch sử dụng đất cấp tỉnh, quy hoạch sử dụng đất cấp huyện, kế hoạch sử dụng đất hằng năm cấp huyện thực hiện theo quy định của Chính phủ.",Việc lựa chọn tư vấn lập quy hoạch sử dụng đất cấp tỉnh và kế hoạch sử dụng đất hằng năm cấp huyện thực hiện theo quy định của Chính phủ đúng hay sai?,Đúng
"Luật Đất đai, Điều 45",Người bán tài sản gắn liền với đất không cần phải hoàn thành việc xây dựng theo quy hoạch chi tiết. đúng hay sai?,Sai
"Luật Tố tụng hành chính: Các văn bản tố tụng phải được cấp, tống đạt hoặc thông báo 1. Thông báo, giấy báo, giấy triệu tập, giấy mời trong tố tụng hành chính. 2. Bản án, quyết định của Tòa án. 3. Quyết định kháng nghị của Viện kiểm sát; văn bản của cơ quan thi hành án dân sự. 4. Văn bản tố tụng khác mà pháp luật có quy định phải cấp, tống đạt hoặc thông báo.","Các văn bản tố tụng bao gồm thông báo, giấy triệu tập, giấy mời, bản án, quyết định của Tòa án, quyết định kháng nghị của Viện kiểm sát và văn bản của cơ quan thi hành án dân sự đúng hay sai?",Đúng
"Bộ luật dân sự, Nghĩa vụ bảo đảm giá trị sử dụng của tài sản thuê","Khi tài sản thuê bị giảm sút giá trị sử dụng do lỗi của bên thuê, bên thuê có quyền yêu cầu bên cho thuê giảm giá thuê hoặc đơn phương chấm dứt hợp đồng. đúng hay sai?",Sai
"Bộ luật dân sự, Nghĩa vụ hoàn trả hoa lợi, lợi tức","Nếu người sử dụng tài sản không có căn cứ pháp luật biết việc chiếm hữu không có căn cứ pháp luật từ tháng 5/2023, thì họ phải hoàn trả hoa lợi từ tháng 5/2023 đúng hay sai?",Đúng
"Luật Bảo vệ môi trường
Mua sắm xanh
1. Mua sắm xanh là việc mua sắm các sản phẩm, dịch vụ thân thiện môi trường được chứng nhận Nhãn sinh thái Việt Nam hoặc được công nhận theo quy định của pháp luật.
2. Ưu tiên thực hiện mua sắm xanh đối với dự án đầu tư, nhiệm vụ có sử dụng ngân sách nhà nước theo quy định của Chính phủ.",Dự án không sử dụng ngân sách nhà nước cũng phải thực hiện mua sắm xanh đúng hay sai?,Sai
"Luật Tố tụng hành chính, Phạm vi xét xử phúc thẩm: Tòa án cấp phúc thẩm chỉ xem xét lại phần bản án, quyết định của Tòa án cấp sơ thẩm có kháng cáo, kháng nghị hoặc có liên quan đến nội dung kháng cáo, kháng nghị.","Khi có kháng cáo và kháng nghị cùng về một bản án, Tòa án cấp phúc thẩm xem xét lại cả nội dung kháng cáo và kháng nghị. đúng hay sai?",Đúng
"Luật Đường bộ: Nguồn tài chính để đầu tư, xây dựng, quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ và nguồn thu từ kết cấu hạ tầng đường bộ","Theo Điều 1, nguồn tài chính cho đầu tư đường bộ theo phương thức đối tác công tư (PPP) được thực hiện theo quy định pháp luật về ngân sách nhà nước đúng hay sai?",Sai
Luật Giao dịch điện tử - Điều 13: Hình thức lưu trữ thông điệp dữ liệu,"Một doanh nghiệp muốn lưu trữ hồ sơ dưới dạng thông điệp dữ liệu thì phải đảm bảo thông tin đó có thể truy cập, lưu đúng định dạng và xác định được nguồn gốc, người gửi, thời gian gửi đúng hay sai?",Đúng
"Luật Đất đai, Nguyên tắc thống kê, kiểm kê đất đai","Nguyên tắc thống kê, kiểm kê đất đai yêu cầu chỉ tiêu thống kê phải đồng bộ từ trung ương đến địa phương nhưng không cần tổng hợp từ cấp dưới lên cấp trên đúng hay sai?",Sai
"Bộ luật dân sự: Công bố di chúc 1. Trường hợp di chúc bằng văn bản được lưu giữ tại tổ chức hành nghề công chứng thì công chứng viên là người công bố di chúc. 2. Trường hợp người để lại di chúc chỉ định người công bố di chúc thì người này có nghĩa vụ công bố di chúc; nếu người để lại di chúc không chỉ định hoặc có chỉ định nhưng người được chỉ định từ chối công bố di chúc thì những người thừa kế còn lại thoả thuận cử người công bố di chúc. 3. Sau thời điểm mở thừa kế, người công bố di chúc phải sao gửi di chúc tới tất cả những người có liên quan đến nội dung di chúc. 4. Người nhận được bản sao di chúc có quyền yêu cầu đối chiếu với bản gốc của di chúc. 5. Trường hợp di chúc được lập bằng tiếng nước ngoài thì bản di chúc đó phải được dịch ra tiếng Việt và phải có công chứng hoặc chứng thực.",Người công bố di chúc có nghĩa vụ sao gửi di chúc tới tất cả người có liên quan sau thời điểm mở thừa kế. đúng hay sai?,Đúng
"Bộ luật dân sự, Điều 115: Chấm dứt tồn tại pháp nhân","Pháp nhân chấm dứt tồn tại khi hợp nhất, sáp nhập, chia, chuyển đổi hình thức hoặc giải thể theo quy định tại các điều 88, 89, 90, 92 và 93 của Bộ luật này. đúng hay sai?",Đúng
"Bộ luật dân sự, Trường hợp không áp dụng pháp luật nước ngoài",Nếu pháp luật nước ngoài không xác định được nội dung thì pháp luật Việt Nam không được áp dụng đúng hay sai?,Sai
Luật Điện ảnh - Giải thích từ ngữ,"Theo Luật Điện ảnh, cơ sở điện ảnh phải được đăng ký với Bộ Văn hóa, Thể thao và Du lịch để hoạt động. đúng hay sai?",Sai
"Luật Điện ảnh, Sửa đổi, bổ sung Luật Đầu tư số 61/2020/QH14 đã được sửa đổi, bổ sung một số điều theo Luật số 72/2020/QH14 và Luật số 03/2022/QH15... Sửa đổi, bổ sung mục 192 thuộc Phụ lục IV - Danh mục ngành, nghề đầu tư kinh doanh có điều kiện ban hành kèm theo Luật Đầu tư số 61/2020/QH14... Kinh doanh dịch vụ phổ biến phim",Mục 192 Phụ lục IV được sửa đổi theo quy định của Luật Đầu tư số 72/2020/QH14 và 03/2022/QH15 nhằm mở rộng phạm vi kinh doanh dịch vụ phổ biến phim đúng hay sai?,Sai
"Luật Giá, Hoạt động tổng hợp, phân tích, dự báo giá thị trường","Công ty A có nghĩa vụ lập báo cáo tổng hợp, phân tích, dự báo giá thị trường cho từng giai đoạn, thời kỳ không phụ thuộc vào mục tiêu kiểm soát lạm phát đúng hay sai?",Sai
"Bộ luật dân sự
Quyền của bên gửi tài sản
1. Yêu cầu lấy lại tài sản bất cứ lúc nào, nếu hợp đồng gửi giữ không xác định thời hạn, nhưng phải báo trước cho bên giữ một thời gian hợp lý.
2. Yêu cầu bồi thường thiệt hại, nếu bên giữ làm mất, hư hỏng tài sản gửi giữ, trừ trường hợp bất khả kháng.","Nếu hợp đồng gửi giữ có xác định thời hạn, bên gửi tài sản vẫn có quyền yêu cầu lấy lại tài sản bất cứ lúc nào. đúng hay sai?",Sai
"Luật Tố tụng hành chính, Thay đổi địa vị tố tụng: Trường hợp người khởi kiện rút toàn bộ yêu cầu khởi kiện nhưng người có quyền lợi, nghĩa vụ liên quan vẫn giữ yêu cầu độc lập của mình thì người có quyền lợi, nghĩa vụ liên quan trở thành người khởi kiện.","Trong trường hợp người khởi kiện rút toàn bộ yêu cầu khởi kiện và người có quyền lợi, nghĩa vụ liên quan không có yêu cầu độc lập thì người có quyền lợi, nghĩa vụ liên quan có thể trở thành người khởi kiện. đúng hay sai?",Sai
"Luật Hôn nhân và gia đình: Nghĩa vụ, quyền của cha, mẹ không trực tiếp nuôi con sau khi ly hôn","Cha mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con, ngay cả khi con không sống với họ đúng hay sai?",Sai
"Luật Đường bộ - Đầu tư, xây dựng công trình thuộc kết cấu hạ tầng đường bộ",Việc đầu tư công trình đường bộ không cần tuân thủ quy định của Luật Đầu tư công và Luật Đầu tư theo phương thức đối tác công tư đúng hay sai?,Sai
"Bộ luật dân sự
Hiệu lực của hợp đồng
1. Hợp đồng được giao kết hợp pháp có hiệu lực từ thời điểm giao kết, trừ trường hợp có thỏa thuận khác hoặc luật liên quan có quy định khác.
2. Từ thời điểm hợp đồng có hiệu lực, các bên phải thực hiện quyền và nghĩa vụ đối với nhau theo cam kết. Hợp đồng chỉ có thể bị sửa đổi hoặc hủy bỏ theo thỏa thuận của các bên hoặc theo quy định của pháp luật.","Hợp đồng có hiệu lực từ thời điểm giao kết, trừ trường hợp có thỏa thuận khác. đúng hay sai?",Sai
"Luật Phòng, chống ma túy: Nguồn tài chính cho phòng, chống ma túy 1. Ngân sách nhà nước. 2. Nguồn tài trợ, viện trợ, đầu tư, tặng cho của tổ chức, cá nhân trong nước và ngoài nước. 3. Chi trả của gia đình, người nghiện ma túy. 4. Các nguồn tài chính hợp pháp khác.","Ngân sách nhà nước là một trong những nguồn tài chính hợp pháp được quy định trong Luật Phòng, chống ma túy đúng hay sai?",Đúng
"Luật Tố tụng hành chính, Điều 127: Quyền yêu cầu độc lập của người có quyền lợi, nghĩa vụ liên quan","Người có quyền lợi, nghĩa vụ liên quan có thể yêu cầu độc lập nếu yêu cầu của họ không liên quan đến vụ án đang được giải quyết đúng hay sai?",Sai
"Luật Giáo dục, Quỹ khuyến học, quỹ bảo trợ giáo dục
Nhà nước khuyến khích tổ chức, cá nhân thành lập quỹ khuyến học, quỹ bảo trợ giáo dục. Việc thành lập và hoạt động của quỹ khuyến học, quỹ bảo trợ giáo dục thực hiện theo quy định của pháp luật.","Quỹ khuyến học, quỹ bảo trợ giáo dục phải hoạt động theo quy định của Luật Giáo dục và các luật liên quan đúng hay sai?",Sai
"Bộ luật dân sự
Quyền của người hưởng dụng
1. Tự mình hoặc cho phép người khác khai thác, sử dụng, thu hoa lợi, lợi tức từ đối tượng của quyền hưởng dụng.
2. Yêu cầu chủ sở hữu tài sản thực hiện nghĩa vụ sửa chữa đối với tài sản theo quy định tại khoản 4 Điều 263 của Bộ luật này; trường hợp thực hiện nghĩa vụ thay cho chủ sở hữu tài sản thì có quyền yêu cầu chủ sở hữu tài sản hoàn trả chi phí.
3. Cho thuê quyền hưởng dụng đối với tài sản.",Người hưởng dụng có quyền yêu cầu chủ sở hữu tài sản thực hiện nghĩa vụ sửa chữa theo quy định tại khoản 2 Điều 263 Bộ luật Dân sự đúng hay sai?,Sai
"Bộ luật dân sự
Căn cứ phát sinh nghĩa vụ
Nghĩa vụ phát sinh từ căn cứ sau đây:
1. Hợp đồng;
2. Hành vi pháp lý đơn phương;
3. Thực hiện công việc không có uỷ quyền;
4. Chiếm hữu, sử dụng tài sản hoặc được lợi về tài sản không có căn cứ pháp luật;
5. Gây thiệt hại do hành vi trái pháp luật;
6. Căn cứ khác do pháp luật quy định.",Nghĩa vụ phát sinh chỉ có thể từ hợp đồng hoặc hành vi pháp lý đơn phương đúng hay sai?,Sai
"Luật Nhà ở - Điều 2, 3, 4",Chủ đầu tư phải có đủ hồ sơ bàn giao nhà ở theo quy định của pháp luật về xây dựng khi bàn giao nhà chung cư đúng hay sai?,Sai
Luật Tố tụng hành chính - Điều 154: Thời hạn giải quyết vụ án,Tòa án phải gửi quyết định đưa vụ án ra xét xử cho đương sự và Viện kiểm sát trong thời hạn 02 ngày kể từ ngày thụ lý vụ án đúng hay sai?,Sai
"Bộ luật dân sự, Vật chính và vật phụ
1. Vật chính là vật độc lập, có thể khai thác công dụng theo tính năng.
2. Vật phụ là vật trực tiếp phục vụ cho việc khai thác công dụng của vật chính, là một bộ phận của vật chính, nhưng có thể tách rời vật chính.
3. Khi thực hiện nghĩa vụ chuyển giao vật chính thì phải chuyển giao cả vật phụ, trừ trường hợp có thoả thuận khác.","Khi chuyển giao vật chính, người chuyển giao không cần chuyển giao vật phụ nếu không có thỏa thuận khác đúng hay sai?",Sai
Luật Tài nguyên nước - Trách nhiệm quản lý nhà nước về tài nguyên nước của Ủy ban nhân dân các cấp,Ủy ban nhân dân cấp tỉnh có trách nhiệm tổ chức thực hiện quy hoạch tổng thể điều tra cơ bản tài nguyên nước đúng hay sai?,Sai
"Luật Giao dịch điện tử, Điều 29: Dịch vụ tin cậy, điều kiện kinh doanh, quy trình cấp giấy phép, và thẩm quyền của Chính phủ.","Chính phủ quy định chi tiết quy trình cấp, gia hạn giấy phép kinh doanh dịch vụ tin cậy theo quy định tại Điều 30 của Luật này. đúng hay sai?",Sai
"Luật Hôn nhân và gia đình: Bồi thường thiệt hại do con gây ra; Cha mẹ phải bồi thường thiệt hại do con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự gây ra theo quy định của Bộ luật dân sự.","Cha mẹ chỉ có trách nhiệm bồi thường thiệt hại do con chưa thành niên gây ra, không bao gồm con đã thành niên mất năng lực hành vi dân sự đúng hay sai?",Sai
Luật Giao dịch điện tử - Hoạt động của cơ quan nhà nước trên môi trường điện tử,"Cơ quan nhà nước được phép không thực hiện các hoạt động công vụ trên môi trường điện tử trong trường hợp không có yêu cầu của tổ chức, cá nhân đúng hay sai?",Sai
"Luật Cư trú, Điều 12 về khai báo tạm vắng",Người đang chấp hành án phạt quản chế có thể khai báo tạm vắng qua điện thoại khi đi khỏi phạm vi cấp xã từ 01 ngày trở lên đúng hay sai?,Sai
"Luật Tài nguyên nước: Khai thác tài nguyên nước cho sinh hoạt; trách nhiệm của tổ chức/cá nhân; mô hình cấp nước; vai trò các bộ, ngành; biện pháp khẩn cấp của tỉnh; quy định của Chính phủ về sản xuất nước sinh hoạt.","Trong trường hợp xảy ra sự cố ô nhiễm nguồn nước nghiêm trọng, tỉnh có thể tự quyết định không thực hiện biện pháp khẩn cấp để đảm bảo nước sinh hoạt mà không cần thông báo? đúng hay sai?",Sai
